rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
3830,351–400,University of Naples Federico II,45.0–46.9,3830,34,377,28.3,466,77.5,367,42.6,716,32.3,1178,Italy,53319,20.2,2%,55:45:00,University of Naples Federico II,"Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemistry,Biological Sciences,Veterinary Science,Medicine & Dentistry,History, Philosophy & Theology,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Other Health,Chemical Engineering,Psychology,Economics & Econometrics,Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics,Business & Management,Agriculture & Forestry,Architecture,Civil Engineering,General Engineering,Sociology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Law,Accounting & Finance,Communication & Media Studies",FALSE,FALSE
3840,351–400,University of New Mexico (Main campus),45.0–46.9,3840,34.7,361,29.3,445,74.5,424,39,1113,37.6,1027,United States of America,18046,16.9,5%,56:44:00,University of New Mexico (Main campus),"Mechanical & Aerospace Engineering,Biological Sciences,Other Health,Economics & Econometrics,Sociology,Education,Law,Geography,Medicine & Dentistry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,General Engineering,Psychology,Mathematics & Statistics,Sport Science,Art, Performing Arts & Design,Business & Management,Communication & Media Studies,Chemistry,Languages, Literature & Linguistics,Architecture,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy",FALSE,FALSE
3850,351–400,North Carolina State University,45.0–46.9,3850,40.9,215,38.2,260,59.7,673,47.5,472,54.8,580,United States of America,31540,16.6,14%,48:52:00,North Carolina State University,"Biological Sciences,Art, Performing Arts & Design,Chemistry,Education,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Civil Engineering,Psychology,Computer Science,Communication & Media Studies,History, Philosophy & Theology,Architecture,Mathematics & Statistics,General Engineering,Mechanical & Aerospace Engineering,Sociology,Business & Management,Chemical Engineering,Physics & Astronomy,Veterinary Science,Accounting & Finance,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
3860,351–400,University of Rome II – Tor Vergata,45.0–46.9,3860,39.7,246,28.8,457,63.8,595,45.8,530,65.3,400,Italy,24038,30.3,20%,56:44:00,University of Rome II – Tor Vergata,"Accounting & Finance,Mathematics & Statistics,Medicine & Dentistry,Economics & Econometrics,General Engineering,History, Philosophy & Theology,Biological Sciences,Languages, Literature & Linguistics,Law,Business & Management,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Chemical Engineering,Computer Science,Physics & Astronomy,Mechanical & Aerospace Engineering",FALSE,FALSE
3870,351–400,"Royal Holloway, University of London",45.0–46.9,3870,28.7,576,28.4,462,67.6,525,39.5,1038,91.6,97,United Kingdom,10640,15.1,35%,57:43:00,"Royal Holloway, University of London","Politics & International Studies (incl Development Studies),Mathematics & Statistics,Agriculture & Forestry,Physics & Astronomy,Communication & Media Studies,Art, Performing Arts & Design,Law,Chemistry,General Engineering,Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Sport Science,Archaeology,Economics & Econometrics,Education,Electrical & Electronic Engineering,Biological Sciences,Psychology,Sociology,Business & Management,Accounting & Finance,Medicine & Dentistry,Computer Science,Geography,History, Philosophy & Theology",FALSE,FALSE
3880,351–400,Royal Veterinary College,45.0–46.9,3880,24.4,791,20.1,743,79.6,328,46.6,502,93.4,76,United Kingdom,2250,10.5,30%,80:20:00,Royal Veterinary College,"Biological Sciences,Veterinary Science",FALSE,FALSE
3890,351–400,Rush University,45.0–46.9,3890,40.9,216,15.3,1007,90.1,149,44.1,609,22.1,1605,United States of America,2757,2.1,1%,76:24:00,Rush University,"Biological Sciences,Medicine & Dentistry,Other Health",FALSE,FALSE
3900,351–400,Shoolini University of Biotechnology and Management Sciences,45.0–46.9,3900,23.2,866,14.4,1078,98.3,41,37.9,1331,49.1,693,India,2973,14.3,2%,45:55:00,Shoolini University of Biotechnology and Management Sciences Shoolini,"Electrical & Electronic Engineering,History, Philosophy & Theology,Psychology,Education,Chemistry,Agriculture & Forestry,Business & Management,Communication & Media Studies,Economics & Econometrics,General Engineering,Languages, Literature & Linguistics,Computer Science,Law,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Civil Engineering,Physics & Astronomy,Other Health",FALSE,FALSE
3910,351–400,University of Stirling,45.0–46.9,3910,22.9,886,25.9,528,79.4,335,37.3,1536,86.1,155,United Kingdom,9855,16,27%,64:36:00,University of Stirling,"Accounting & Finance,Communication & Media Studies,Biological Sciences,History, Philosophy & Theology,Sport Science,Business & Management,Law,Education,Psychology,Geology, Environmental, Earth & Marine Sciences,Sociology,Computer Science,Languages, Literature & Linguistics,General Engineering,Other Health,Mathematics & Statistics,Economics & Econometrics,Politics & International Studies (incl Development Studies)",FALSE,FALSE
3920,351–400,Swedish University of Agricultural Sciences,45.0–46.9,3920,29.9,529,31.4,398,71.8,460,89.2,75,52.1,626,Sweden,4216,4.6,7%,70:30:00,Swedish University of Agricultural Sciences,"Civil Engineering,Communication & Media Studies,Biological Sciences,Agriculture & Forestry,Architecture,Business & Management,Economics & Econometrics,Veterinary Science,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
3930,351–400,University of Texas at Dallas,45.0–46.9,3930,24.8,762,27,499,81.3,292,42.7,709,56.4,545,United States of America,25464,21.6,20%,43:57:00,University of Texas at Dallas utd,"Computer Science,Psychology,Chemistry,History, Philosophy & Theology,Economics & Econometrics,Mechanical & Aerospace Engineering,Geography,General Engineering,Business & Management,Biological Sciences,Accounting & Finance,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Other Health,Sociology",FALSE,FALSE
3940,351–400,Tulane University,45.0–46.9,3940,41.9,202,23,627,73.6,434,38.8,1154,43.8,836,United States of America,11220,7.5,11%,58:42:00,Tulane University,"Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Computer Science,Biological Sciences,Architecture,Education,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Sport Science,Accounting & Finance,Agriculture & Forestry,Communication & Media Studies,Other Health,Law,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Psychology,Mathematics & Statistics",FALSE,FALSE
3950,351–400,University of Turku,45.0–46.9,3950,27.7,615,32.6,369,73.9,429,38.7,1170,53.5,598,Finland,13012,15.3,5%,64:36:00,University of Turku,"Accounting & Finance,Other Health,Mathematics & Statistics,Computer Science,Communication & Media Studies,Archaeology,Law,Chemical Engineering,Business & Management,Education,Geography,Languages, Literature & Linguistics,Biological Sciences,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Chemistry,Medicine & Dentistry,Physics & Astronomy,Psychology,Civil Engineering",FALSE,FALSE
3960,351–400,University of Vaasa,45.0–46.9,3960,19.6,1167,25.5,542,88,183,38.5,1194,66.2,389,Finland,3873,20,4%,53:47:00,University of Vaasa,"Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Computer Science,Economics & Econometrics,Communication & Media Studies",FALSE,FALSE
3970,351–400,Verona University,45.0–46.9,3970,31.4,469,26,523,80,317,45.5,544,42.4,891,Italy,18621,23.8,4%,64:36:00,Verona University,"Other Health,Sport Science,Archaeology,Economics & Econometrics,Geography,History, Philosophy & Theology,Law,Medicine & Dentistry,Mathematics & Statistics,Education,Psychology,Business & Management,Biological Sciences,Languages, Literature & Linguistics,General Engineering,Art, Performing Arts & Design,Sociology,Accounting & Finance,Communication & Media Studies,Computer Science,Agriculture & Forestry",FALSE,FALSE
3980,351–400,Wake Forest University,45.0–46.9,3980,39.4,253,20.2,737,81.9,282,45.7,535,33,1167,United States of America,8122,4,10%,54:46:00,Wake Forest University,"Law,Chemistry,Accounting & Finance,Biological Sciences,History, Philosophy & Theology,Sport Science,Business & Management,General Engineering,Sociology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Education,Communication & Media Studies,Other Health,Physics & Astronomy,Medicine & Dentistry,Psychology,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Computer Science,Politics & International Studies (incl Development Studies)",FALSE,FALSE
3990,351–400,Washington State University,45.0–46.9,3990,33.4,398,32.7,364,69.6,494,50.8,396,50.1,666,United States of America,29463,19.5,7%,54:46:00,Washington State University,"Medicine & Dentistry,Geography,Agriculture & Forestry,Accounting & Finance,Chemistry,Civil Engineering,Architecture,Electrical & Electronic Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Psychology,Computer Science,Business & Management,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,General Engineering,History, Philosophy & Theology,Sport Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Archaeology,Sociology,Art, Performing Arts & Design,Education,Veterinary Science,Biological Sciences,Economics & Econometrics,Politics & International Studies (incl Development Studies),Communication & Media Studies,Other Health",FALSE,FALSE
4000,351–400,Wroclaw Medical University,45.0–46.9,4000,39.6,248,11.7,1312,89,167,38.2,1263,37.5,1030,Poland,6769,9.4,14%,71:29:00,Wroclaw Medical University,"Medicine & Dentistry,Other Health",FALSE,FALSE
4010,401–500,Alagappa University,42.1–44.9,4010,34.6,363,11,1386,82.8,269,37.2,1550,35.1,1094,India,4831,15.7,0%,63:37:00,Alagappa University,"History, Philosophy & Theology,Sport Science,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Chemistry,Psychology,Economics & Econometrics,Physics & Astronomy,Languages, Literature & Linguistics,Computer Science,Education,Business & Management,Biological Sciences,Mathematics & Statistics,Sociology",FALSE,FALSE
4020,401–500,University of Alaska Fairbanks,42.1–44.9,4020,29.1,560,24.9,558,70,484,47.7,464,60,478,United States of America,2910,7.2,6%,53:47:00,University of Alaska Fairbanks,"Education,Accounting & Finance,Psychology,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Art, Performing Arts & Design,General Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Geography,Sociology,Economics & Econometrics,Architecture,Biological Sciences,Other Health,History, Philosophy & Theology,Civil Engineering,Chemistry,Computer Science,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics",FALSE,FALSE
4030,401–500,Arak University of Medical Sciences,42.1–44.9,4030,24.6,774,8.8,1668,100,1,36.9,1721,17.9,1748,Iran,3500,7.4,1%,56:44:00,Arak University of Medical Sciences,"Medicine & Dentistry,Other Health",FALSE,FALSE
4040,401–500,Aston University,42.1–44.9,4040,20.5,1075,24.9,559,76.8,376,38.8,1142,92.6,87,United Kingdom,12015,17.8,25%,48:52:00,Aston University,"Chemical Engineering,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Biological Sciences,General Engineering,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,Other Health,Chemistry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Computer Science,Law,Business & Management",FALSE,FALSE
4050,401–500,Aswan University,42.1–44.9,4050,16.7,1521,11.6,1314,98.5,35,37,1642,47.8,722,Egypt,31877,46.7,2%,55:45:00,Aswan University,"General Engineering,Chemistry,Economics & Econometrics,Agriculture & Forestry,Psychology,Architecture,Medicine & Dentistry,Mechanical & Aerospace Engineering,Communication & Media Studies,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Education,Sport Science,Other Health,Veterinary Science,Archaeology,Business & Management,Biological Sciences,Geography,History, Philosophy & Theology,Electrical & Electronic Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Civil Engineering,Physics & Astronomy,Sociology,Chemical Engineering,Law,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics",FALSE,FALSE
4060,401–500,Babol University of Medical Sciences,42.1–44.9,4060,32.3,436,10.6,1434,97.3,54,37.3,1496,18.4,1730,Iran,4102,11.8,0%,58:42:00,Babol University of Medical Sciences,"Biological Sciences,Medicine & Dentistry,Other Health",FALSE,FALSE
4070,401–500,Babol Noshirvani University of Technology,42.1–44.9,4070,20.3,1098,20.9,709,98.4,37,38.5,1181,22.9,1572,Iran,6180,28.7,0%,33 : 67,Babol Noshirvani University of Technology,"Chemical Engineering,General Engineering,Business & Management,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Civil Engineering,Electrical & Electronic Engineering,Computer Science,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Biological Sciences",FALSE,FALSE
4080,401–500,Bangor University,42.1–44.9,4080,28.3,589,24.7,565,72.6,447,37.4,1457,84.3,168,United Kingdom,8790,15.7,26%,61:39:00,Bangor University,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Psychology,Computer Science,Sociology,Art, Performing Arts & Design,Law,Education,History, Philosophy & Theology,Sport Science,Business & Management,Agriculture & Forestry,Accounting & Finance,Biological Sciences,Other Health,Communication & Media Studies,Archaeology,Economics & Econometrics,Geography",FALSE,FALSE
4090,401–500,University of Bayreuth,42.1–44.9,4090,36.4,313,39.4,248,55,762,53.3,348,58.3,509,Germany,9734,26.6,12%,47:53:00,University of Bayreuth,"Business & Management,Sport Science,Art, Performing Arts & Design,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Electrical & Electronic Engineering,General Engineering,Geography,Education,Chemistry,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Economics & Econometrics,Biological Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Law",FALSE,FALSE
4100,401–500,Brunel University London,42.1–44.9,4100,24.3,793,26.4,516,69.9,486,37.9,1310,96.9,20,United Kingdom,13040,17,39%,47:53:00,Brunel University London,"Sport Science,Civil Engineering,Art, Performing Arts & Design,Law,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Computer Science,History, Philosophy & Theology,Psychology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Mathematics & Statistics,Biological Sciences,Languages, Literature & Linguistics,Business & Management,Education,Accounting & Finance,Medicine & Dentistry,Sociology",FALSE,FALSE
4110,401–500,University of Campinas,42.1–44.9,4110,47.9,127,46.7,159,38.4,1055,44.4,591,34.1,1128,Brazil,31199,17.8,3%,46:54:00,University of Campinas,"Architecture,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Computer Science,Education,Politics & International Studies (incl Development Studies),Biological Sciences,Languages, Literature & Linguistics,Sociology,Chemistry,Chemical Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Geography,Economics & Econometrics,General Engineering,Physics & Astronomy,Medicine & Dentistry,Business & Management,Communication & Media Studies,Civil Engineering,Agriculture & Forestry,Sport Science,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology",FALSE,FALSE
4120,401–500,Cankaya University,42.1–44.9,4120,15.5,1643,13.2,1171,100,2,37.7,1361,46.7,754,Turkey,7113,25.4,1%,46:54:00,Cankaya University,"Architecture,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Mathematics & Statistics,General Engineering,Law,Computer Science,Psychology,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering",FALSE,FALSE
4130,401–500,University of Catania,42.1–44.9,4130,31.2,477,21.5,679,79.7,322,39.4,1041,31.9,1196,Italy,26902,21.2,3%,58:42:00,University of Catania,"Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,General Engineering,Physics & Astronomy,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Accounting & Finance,Education,Sport Science,Medicine & Dentistry,Chemical Engineering,Chemistry,Other Health,Electrical & Electronic Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Law,Communication & Media Studies,Archaeology,Mechanical & Aerospace Engineering,Psychology,History, Philosophy & Theology,Sociology,Computer Science,Business & Management,Biological Sciences",FALSE,FALSE
4140,401–500,Claude Bernard University Lyon 1,42.1–44.9,4140,36.1,318,27.2,496,65.5,564,41.6,785,59,499,France,28253,13,14%,54:46:00,Claude Bernard University Lyon 1,"Medicine & Dentistry,Economics & Econometrics,General Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Veterinary Science,Education,Geology, Environmental, Earth & Marine Sciences,Chemistry,Civil Engineering,Business & Management,Agriculture & Forestry,Biological Sciences,Other Health,Chemical Engineering,Mathematics & Statistics,Sport Science",FALSE,FALSE
4150,401–500,Colorado School of Mines,42.1–44.9,4150,34,374,30.3,420,63,606,46.2,512,37.1,1039,United States of America,6350,17.6,9%,31 : 69,Colorado School of Mines,"Civil Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Business & Management,Physics & Astronomy,Chemical Engineering,General Engineering,Chemistry,Electrical & Electronic Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
4160,401–500,"Colorado State University, Fort Collins",42.1–44.9,4160,31.7,454,29.6,435,72.3,452,43,672,39.1,978,United States of America,29351,17.7,6%,55:45:00,"Colorado State University, Fort Collins","General Engineering,Business & Management,Geography,Geology, Environmental, Earth & Marine Sciences,Computer Science,Other Health,Sociology,Sport Science,Communication & Media Studies,Education,Art, Performing Arts & Design,Chemistry,Mathematics & Statistics,Agriculture & Forestry,Archaeology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Accounting & Finance,Civil Engineering,Biological Sciences,History, Philosophy & Theology,Veterinary Science,Chemical Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Psychology",FALSE,FALSE
4170,401–500,Complutense University of Madrid,42.1–44.9,4170,31.4,463,34.7,313,60.5,655,39.1,1088,44.7,808,Spain,61128,20.3,12%,62:38:00,Complutense University of Madrid,"Economics & Econometrics,Other Health,Psychology,General Engineering,Archaeology,Medicine & Dentistry,Chemistry,Geography,History, Philosophy & Theology,Agriculture & Forestry,Chemical Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Mathematics & Statistics,Accounting & Finance,Architecture,Education,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Sociology,Art, Performing Arts & Design,Civil Engineering,Veterinary Science,Law,Business & Management,Physics & Astronomy,Languages, Literature & Linguistics,Sport Science,Communication & Media Studies,Mechanical & Aerospace Engineering",FALSE,FALSE
4180,401–500,University of Connecticut,42.1–44.9,4180,39.1,259,29.3,444,59.8,671,40,959,54.8,577,United States of America,27752,13.6,12%,52:48:00,University of Connecticut,"Civil Engineering,Sociology,Business & Management,Economics & Econometrics,General Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geography,Art, Performing Arts & Design,Education,Biological Sciences,Psychology,History, Philosophy & Theology,Chemistry,Law,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance,Architecture,Computer Science,Sport Science,Other Health,Mathematics & Statistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemical Engineering",FALSE,FALSE
4190,401–500,University of Crete,42.1–44.9,4190,20.6,1072,26,521,82.2,279,51,388,48.4,710,Greece,13808,27.6,4%,63:37:00,University of Crete,"Computer Science,History, Philosophy & Theology,Chemistry,Physics & Astronomy,Sociology,General Engineering,Biological Sciences,Archaeology,Other Health,Psychology,Education,Medicine & Dentistry,Business & Management,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics",FALSE,FALSE
4200,401–500,University of Cyprus,42.1–44.9,4200,26,693,23.1,620,67,539,55.5,314,83.4,181,Cyprus,6875,20.1,13%,60:40:00,University of Cyprus,"Communication & Media Studies,Mathematics & Statistics,Medicine & Dentistry,Sociology,General Engineering,Education,Archaeology,Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology,Business & Management,Accounting & Finance,Chemistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Civil Engineering,Biological Sciences,Mechanical & Aerospace Engineering,Psychology,Architecture,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy",FALSE,FALSE
4210,401–500,University of Denver,42.1–44.9,4210,40.1,229,24.7,566,69.8,490,37.9,1313,27.5,1366,United States of America,10001,13,6%,60:40:00,University of Denver,"General Engineering,Psychology,Electrical & Electronic Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Other Health,Mathematics & Statistics,Accounting & Finance,Sociology,Communication & Media Studies,Law,Physics & Astronomy,Geography,Biological Sciences,Business & Management,Education,Languages, Literature & Linguistics,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sport Science,Politics & International Studies (incl Development Studies)",FALSE,FALSE
4220,401–500,Dublin City University,42.1–44.9,4220,23.9,815,33.8,328,63.2,603,42.6,714,82.2,192,Ireland,13956,25.4,17%,59:41:00,Dublin City University,"Education,Other Health,Geology, Environmental, Earth & Marine Sciences,Law,Communication & Media Studies,Economics & Econometrics,Chemistry,Mechanical & Aerospace Engineering,Geography,Computer Science,Sport Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Business & Management,Physics & Astronomy,Accounting & Finance,Mathematics & Statistics,Sociology,Biological Sciences,Psychology,Languages, Literature & Linguistics",FALSE,FALSE
4230,401–500,Duy Tan University,42.1–44.9,4230,14.4,1727,12.6,1222,100,3,37.7,1362,48.6,703,Vietnam,21670,21.9,0%,62:38:00,Duy Tan University,"Languages, Literature & Linguistics,Law,Biological Sciences,Economics & Econometrics,Medicine & Dentistry,Computer Science,Architecture,Business & Management,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Communication & Media Studies,Civil Engineering,Other Health,Electrical & Electronic Engineering",FALSE,FALSE
4240,401–500,Edinburgh Napier University,42.1–44.9,4240,17.9,1359,17,892,81.3,290,37,1663,87.8,139,United Kingdom,11535,20.4,35%,53:47:00,Edinburgh Napier University,"Communication & Media Studies,Mechanical & Aerospace Engineering,Other Health,Art, Performing Arts & Design,Civil Engineering,Education,Languages, Literature & Linguistics,Sport Science,Electrical & Electronic Engineering,Law,Sociology,Computer Science,Business & Management,Biological Sciences,Accounting & Finance,Psychology",FALSE,FALSE
4250,401–500,University of Electronic Science and Technology of China,42.1–44.9,4250,29.3,550,31.2,402,67.1,537,67,214,32.4,1176,China,35232,15.4,3%,30 : 70,University of Electronic Science and Technology of China,"Chemical Engineering,Psychology,Chemistry,General Engineering,Biological Sciences,Languages, Literature & Linguistics,Medicine & Dentistry,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Computer Science,Physics & Astronomy,Economics & Econometrics,Other Health,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering",FALSE,FALSE
4260,401–500,Ferhat Abbas Sétif University 1,42.1–44.9,4260,18.2,1314,19.8,750,94.7,95,36.9,1745,40,959,Algeria,34637,22.7,1%,63:37:00,Ferhat Abbas Sétif University 1,"Mechanical & Aerospace Engineering,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Computer Science,Mathematics & Statistics,Architecture,Chemical Engineering,Chemistry,Other Health,Medicine & Dentistry,Physics & Astronomy,Business & Management,Economics & Econometrics,General Engineering,Electrical & Electronic Engineering,Civil Engineering,Biological Sciences",FALSE,FALSE
4270,401–500,University of Ferrara,42.1–44.9,4270,31.4,464,24.7,567,70.6,478,43,673,42.4,889,Italy,20507,32.6,5%,61:39:00,University of Ferrara,"Architecture,Education,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Other Health,Archaeology,Mechanical & Aerospace Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Civil Engineering,Communication & Media Studies,Business & Management,Chemistry,Law,Economics & Econometrics,Sport Science,Computer Science,Mathematics & Statistics,Medicine & Dentistry,Biological Sciences",FALSE,FALSE
4280,401–500,University of Florence,42.1–44.9,4280,34.8,351,32.4,372,65.6,561,45,562,44.7,809,Italy,39407,23,9%,56:44:00,University of Florence,"Agriculture & Forestry,Education,History, Philosophy & Theology,Civil Engineering,Architecture,Law,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Computer Science,Art, Performing Arts & Design,Biological Sciences,Economics & Econometrics,Geography,Communication & Media Studies,Chemistry,Medicine & Dentistry,Business & Management,Sport Science,Other Health,Sociology,Electrical & Electronic Engineering,Archaeology,Psychology,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance",FALSE,FALSE
4290,401–500,Free University of Bozen-Bolzano,42.1–44.9,4290,23.5,837,19.4,769,83.3,257,38.5,1185,74.2,284,Italy,4236,12.6,15%,68:32:00,Free University of Bozen-Bolzano,"Education,Electrical & Electronic Engineering,General Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Accounting & Finance,Agriculture & Forestry,Art, Performing Arts & Design,Communication & Media Studies",FALSE,FALSE
4300,401–500,University of Genoa,42.1–44.9,4300,36.4,315,28.3,465,66.5,546,48.3,448,43.9,833,Italy,20447,23.7,8%,57:43:00,University of Genoa,"Sport Science,Electrical & Electronic Engineering,Law,Economics & Econometrics,Business & Management,Civil Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,History, Philosophy & Theology,Education,Chemistry,Accounting & Finance,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Politics & International Studies (incl Development Studies),Biological Sciences,Other Health,General Engineering,Medicine & Dentistry,Communication & Media Studies,Architecture",FALSE,FALSE
4310,401–500,Georgia State University,42.1–44.9,4310,34.3,369,26.9,500,65.2,569,38.1,1272,43.4,855,United States of America,34734,17.3,5%,58:42:00,Georgia State University,"Biological Sciences,Economics & Econometrics,Geography,Mathematics & Statistics,Other Health,Physics & Astronomy,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,History, Philosophy & Theology,Chemistry,Psychology,Languages, Literature & Linguistics,Education,Accounting & Finance,Law,Sociology,Business & Management,Computer Science,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
